group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
decode,medium_64k_4G,vu64,15263.0,15683.3,15740.8,15798.9,16511.7,15218.8,428.6,15159.4,15277.3,532.4,0.0282,14015.9,16647.1
decode,large_above_4G,bijou64,6783.9,6879.8,6899.6,6963.7,7035.7,6734.5,161.6,6711.7,6756.4,188.5,0.0240,6158.6,7052.9
decode,large_above_4G,leb128,38857.5,39447.5,39555.9,39942.9,40132.9,38577.0,874.7,38453.6,38696.0,1164.3,0.0227,35178.6,40171.7
decode,large_above_4G,varu64,23763.9,24225.6,24323.9,24448.8,24647.8,23635.8,579.0,23554.5,23713.4,729.1,0.0245,21657.6,24691.7
decode,large_above_4G,vu128,9277.2,9450.1,9467.0,9539.6,9578.7,9225.2,210.8,9195.5,9253.7,283.8,0.0229,8470.2,9583.7
decode,large_above_4G,vu64,9423.3,9550.1,9595.8,9642.8,9689.7,9358.8,212.9,9328.6,9387.7,257.4,0.0227,8536.5,9693.6
decode,boundary,bijou64,7397.8,7556.8,7587.2,7659.4,7745.6,7370.4,186.8,7344.2,7395.8,236.1,0.0253,6740.7,7757.6
decode,boundary,leb128,15427.7,15744.4,15789.5,15962.4,16051.5,15335.0,407.2,15277.4,15390.2,549.3,0.0266,14033.1,16073.2
decode,boundary,varu64,20187.8,20730.7,20800.7,20937.3,21181.5,19937.2,738.0,19833.7,20038.5,1197.3,0.0370,18529.3,21223.2
decode,boundary,vu128,10881.0,11128.5,11159.8,11219.1,11253.4,10839.8,271.3,10801.7,10876.4,297.3,0.0250,9889.8,11253.6
decode,boundary,vu64,12074.9,12321.8,12364.2,12435.7,12495.4,12039.8,269.7,12001.7,12076.2,373.2,0.0224,10994.2,12498.0
decode,uniform_random,bijou64,6689.2,6832.3,6845.0,6905.8,6966.2,6656.5,172.5,6632.1,6680.0,220.9,0.0259,6113.5,6972.2
